Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-01-11 00:00:00.0;31.20833;48;997.6511;15.28188
2023-01-12 00:00:00.0;28.14583;59;996.4863;15.79368
2023-01-13 00:00:00.0;26.69513;60;998.0271;18.0423
2023-01-14 00:00:00.0;27.84027;49;999.0353;28.84548
2023-01-15 00:00:00.0;29.93333;38;1001.214;27.79206
2023-01-16 00:00:00.0;30.92362;35;1000.293;27.03414
2023-01-17 00:00:00.0;32.96806;39;999.8343;27.58445
2023-01-18 00:00:00.0;30.58681;57;1003.233;16.17258
2023-01-19 00:00:00.0;32.0125;55;1000.356;21.1458
2023-01-20 00:00:00.0;34.28056;49;993.662;25.92264
2023-01-21 00:00:00.0;27.24791;88;995.3118;8.844301
2023-01-22 00:00:00.0;28.5632;72;996.6271;26.63568
2023-01-23 00:00:00.0;31.16945;54;997.5266;27.3633
2023-01-24 00:00:00.0;32.23264;51;994.6938;25.56108
2023-01-25 00:00:00.0;26.40903;85;996.6124;2.877001
2023-01-26 00:00:00.0;29.94653;70;995.2482;25.74006
2023-01-27 00:00:00.0;29.35139;81;997.2893;17.63694
2023-01-28 00:00:00.0;26.69793;83;1001.6;17.26608
2023-01-29 00:00:00.0;30.16528;74;1000.455;24.80058
2023-01-30 00:00:00.0;29.95139;63;996.8026;22.02342
2023-01-31 00:00:00.0;30.28403;57;997.2657;27.0282
2023-02-01 00:00:00.0;30.9382;54;998.2354;26.53386
2023-02-02 00:00:00.0;26.04167;82;1000.9;8.224979
2023-02-03 00:00:00.0;25.5118;75;1002.322;19.69074
2023-02-04 00:00:00.0;26.09027;62;1004.618;26.53206
2023-02-05 00:00:00.0;25.97848;50;1002.102;27.34842
2023-02-06 00:00:00.0;28.1757;46;998.9756;26.23794
2023-02-07 00:00:00.0;31.1625;43;997.9418;25.37862
2023-02-08 00:00:00.0;30.97987;50;997.1849;15.92688
2023-02-09 00:00:00.0;28.83889;68;999.1063;15.37968
2023-02-10 00:00:00.0;30.50764;58;998.8772;25.23846
2023-02-11 00:00:00.0;32.81528;49;997.1953;21.6462
2023-02-12 00:00:00.0;34.29374;44;994.1765;23.44524
2023-02-13 00:00:00.0;31.39166;63;993.1821;15.64422
2023-02-14 00:00:00.0;30.24513;64;993.8446;21.64884
2023-02-15 00:00:00.0;29.69097;57;994.2994;25.32337
2023-02-16 00:00:00.0;24.70486;82;991.4515;5.59782
2023-02-17 00:00:00.0;17.15694;61;1006.375;15.16344
2023-02-18 00:00:00.0;16.62015;58;1010.888;25.35888
2023-02-19 00:00:00.0;20.50834;55;1007.772;25.99368
2023-02-20 00:00:00.0;23.70764;52;1003.515;25.08288
2023-02-21 00:00:00.0;27.13819;51;1000.95;24.34002
2023-02-22 00:00:00.0;26.1993;74;1002.428;4.82286
2023-02-23 00:00:00.0;25.54444;78;1000.872;16.3932
2023-02-24 00:00:00.0;26.60417;70;999.0931;20.81886
2023-02-25 00:00:00.0;27.64236;63;996.3099;23.25048
2023-02-26 00:00:00.0;29.91389;56;1001.297;23.83711
2023-02-27 00:00:00.0;28.59375;60;1004.232;22.75152
2023-02-28 00:00:00.0;30.00694;54;1002.151;22.9932
